frame,px,py,pz,proll,ppitch,e0_alive,e0_x,e0_y,e0_z,e0_rz,e1_alive,e1_x,e1_y,e1_z,e1_rz,e2_alive,e2_x,e2_y,e2_z,e2_rz,e3_alive,e3_x,e3_y,e3_z,e3_rz,e4_alive,e4_x,e4_y,e4_z,e4_rz,e5_alive,e5_x,e5_y,e5_z,e5_rz,e6_alive,e6_x,e6_y,e6_z,e6_rz,e7_alive,e7_x,e7_y,e7_z,e7_rz,e8_alive,e8_x,e8_y,e8_z,e8_rz,e9_alive,e9_x,e9_y,e9_z,e9_rz,b0_alive,b0_x,b0_y,b0_z,b1_alive,b1_x,b1_y,b1_z,b2_alive,b2_x,b2_y,b2_z,b3_alive,b3_x,b3_y,b3_z,b4_alive,b4_x,b4_y,b4_z,b5_alive,b5_x,b5_y,b5_z,b6_alive,b6_x,b6_y,b6_z,b7_alive,b7_x,b7_y,b7_z,b8_alive,b8_x,b8_y,b8_z,b9_alive,b9_x,b9_y,b9_z,b10_alive,b10_x,b10_y,b10_z,b11_alive,b11_x,b11_y,b11_z,b12_alive,b12_x,b12_y,b12_z,b13_alive,b13_x,b13_y,b13_z,b14_alive,b14_x,b14_y,b14_z,b15_alive,b15_x,b15_y,b15_z,b16_alive,b16_x,b16_y,b16_z,b17_alive,b17_x,b17_y,b17_z,b18_alive,b18_x,b18_y,b18_z,b19_alive,b19_x,b19_y,b19_z,boss_active,boss_x,boss_y,boss_z,boss_ry
0,0,1.78803,66,0,0.287028,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21.6929,235,273
1,0,2.23165,66.5,0,0.298325,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21.407,235.5,273
2,0,2.67979,67,0,0.308493,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21.1343,236,273
3,0,3.13207,67.5,0,0.317644,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20.8764,236.5,273
4,0,3.58817,68,0,0.325879,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20.6347,236.653,273
5,0,4.04778,68.5,0,0.333291,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20.4105,236.807,273
6,0,4.51063,69,0,0.339962,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20.2045,236.96,273
7,0,4.97645,69.5,0,0.345966,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20.017,237.113,273
8,0,5.445,70,0,0.351369,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19.8481,237.267,273
9,0,5.91606,70.5,0,0.356232,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19.6972,237.42,273
10,0,6.38945,71,0,0.360609,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19.5634,237.573,273
11,0,6.86496,71.5,0,0.364548,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19.4457,237.727,273
12,0,7.34243,72,0,0.368093,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19.3423,237.88,273
13,0,7.8217,72.5,0,0.371284,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19.2515,238.033,273
14,0,8.30263,73,0,0.374156,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19.1713,238.187,273
15,0,8.78509,73.5,0,0.37674,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19.0996,238.34,273
16,0,8.92228,74,0,0.379066,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19.0341,238.493,273
17,0,9.0485,74.5,0,0.38116,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18.973,238.647,273
18,0,9.16462,75,0,0.383044,0,-45,9.69121,171.269,0,0,45,9.69121,156.269,0,0,-45,9.69121,156.269,0,0,45,9.69121,141.269,0,0,-45,9.69121,141.269,0,0,-45,-5.71264,287.39,0,0,45,0.287364,277.39,0,0,-45,6.28736,267.39,0,0,45,12.2874,257.39,0,0,-45,18.2874,247.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18.914,238.8,273
